"V1","V2","V3","V4","V5","V6","V7","V8","df","logLik","AICc","delta","weight"
"(Intercept)",NA,NA,NA,NA,"incdiff_w",NA,NA,4,1511.05172263106,-3014.07139398007,5.55432241690005,0.0585708914662448
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"House_emplrate_ivC",NA,NA,NA,NA,4,1512.16383972351,-3016.29562816497,3.33008823199862,0.159086045889664
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","ChangeFlow_ml_glm",NA,NA,NA,NA,NA,NA,4,1513.74575654442,-3019.45946180678,0.166254590190874,0.479230135084224
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"level_country_dichotomize",NA,NA,NA,NA,4,1510.50261597965,-3012.97318067725,6.65253571972471,0.0346809588297892
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"mlm_re_age_iv",NA,4,1510.51963878734,-3013.00722629264,6.61849010433662,0.0352553878206084
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"Scale_fract_ivC",NA,NA,4,1513.66015306838,-3019.28825485471,0.3374615422631,0.457917101806497
"(Intercept)",NA,"IncDiff_mlm_fe",NA,NA,NA,NA,NA,4,1515.4761866617,-3022.92032204134,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,3.29460564437113,0.161473814144247
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"mlm_fe_ml_glm",NA,4,1510.53503648205,-3013.03802168206,6.58769471491496,0.0357828652768548
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","fract_ivC_leftright_iv",NA,NA,NA,NA,NA,NA,4,1513.66015306838,-3019.28825485471,0.3374615422631,0.457917101806497
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"leftright_iv_un_emp_rate_ivC",NA,NA,NA,4,1510.70940640914,-3013.38676153623,6.23895486074343,0.0423109416789368
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"Unemp_L2boots",4,1512.50763067822,-3016.98321007439,2.64250632258563,0.210609875651324
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"multimpute_employed_iv",NA,NA,NA,4,1513.071315236,-3018.11057918995,1.51513720702269,0.319174381312648
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"L2boots",NA,NA,NA,NA,NA,4,1510.76904491808,-3013.50603855411,6.11967784285935,0.0447945947806024
"(Intercept)",NA,"ChangeFlow",NA,NA,NA,NA,NA,4,1515.57936636488,-3023.1266814477,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,3.5009650507277,0.147986347816553
"(Intercept)",NA,NA,NA,NA,"mlm_fe_employed_iv",NA,NA,4,1514.40603712658,-3020.78002297112,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.15430657414527,0.359587884980709
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","antiimm_ivC_education_iv",NA,NA,NA,NA,NA,NA,4,1510.33288754695,-3012.63372381186,6.99199258511453,0.0294263632646521
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","Health_year_as_count",NA,NA,NA,NA,NA,NA,4,1510.39145635323,-3012.75086142442,6.87485497255739,0.0311460186303904
"(Intercept)",NA,NA,NA,"ologit_leftright_iv",NA,NA,NA,4,1514.49594360947,-3020.95983593689,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.33411953991845,0.339155519795398
"(Intercept)",NA,NA,NA,NA,NA,NA,"mlm_fe_level_cyear",4,1516.6745763704,-3025.31710145874,0,1
"(Intercept)",NA,NA,NA,NA,"hybrid_mlm_occclass_iv",NA,"mlm_fe_level_cyear",5,1515.19482868356,-3020.34154188997,4.97555956877886,0.0767193151897387
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"year_dummies_only_socialistdummy_ivC",4,1510.12560526702,-3012.21915925198,7.40655714498871,0.024049948046765
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,"w1990_married_iv",4,1510.43448974008,-3012.8369281981,6.78878819886813,0.032471123024025
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"Flow_efficacy_iv",NA,NA,NA,NA,NA,4,1510.35983610876,-3012.68762093547,6.93809546149851,0.0302058642805991
"(Intercept)",NA,NA,NA,NA,NA,NA,"multimpute_leftright_iv",4,1514.49594360947,-3020.95983593689,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,1.33411953991845,0.339155519795398
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"IncDiff_sex_iv",NA,NA,NA,NA,4,1512.04429504733,-3016.05653881262,3.56917758435475,0.143737435564001
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"hybrid_mlm_age2_iv",NA,NA,NA,4,1512.48490132678,-3016.9377513715,2.68796502547229,0.206855898656595
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,"Unemp_mlm_fe",NA,NA,4,1512.23318040474,-3016.43430952744,3.19140686953779,0.168582976054924
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"listwise_decomm_ivC",NA,NA,NA,NA,4,1510.43448974008,-3012.8369281981,6.78878819886813,0.032471123024025
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"level_country_L2boots",NA,NA,NA,4,1511.86580169441,-3015.69955210676,3.92616429021018,0.123133875693038
"(Intercept)","ChangeFlow_sex_iv",NA,NA,NA,NA,NA,NA,4,1523.47767634413,-3038.92330140622,0,1
"(Intercept)","ChangeFlow_sex_iv",NA,NA,NA,"fbunempchange_ivC_sex_iv",NA,NA,5,1521.11231942758,-3032.17652337801,6.74677802820634,0.033137554700192
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"gdp_ivC_anynonlin",NA,NA,NA,NA,4,1510.6465572194,-3013.26106315675,6.36465324022083,0.0398362469760863
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"IncDiff_L2boots",NA,NA,NA,4,1512.70410968828,-3017.37616809452,2.24954830245588,0.245126801705092
"(Intercept)","ChangeFlow_w1996",NA,NA,NA,NA,"mmodel_socult_ivC",NA,5,1530.02195826947,-3049.9958010618,0,1
"(Intercept)","ChangeFlow_w1996",NA,NA,"lpm_household_iv",NA,"mmodel_socult_ivC",NA,6,1527.59726388977,-3043.1271120492,6.8686890126005,0.03123918505729
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"mlm_re_level_country",NA,NA,NA,4,1509.96438261705,-3011.89671395206,7.72900244491711,0.0205425344800772
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"Scale_ols",NA,4,1510.67498614819,-3013.31792101434,6.30779538263641,0.0409379727164717
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"twowayfe_ologit",NA,4,1510.10322840995,-3012.17440553786,7.45131085911771,0.0235302848067424
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"level_country_anynonlin",NA,NA,NA,NA,4,1510.62028501071,-3013.20851873938,6.41719765759763,0.0388434128408175
"(Intercept)","ChangeFlow_orig13",NA,NA,NA,NA,NA,NA,4,1527.70145452678,-3047.37085777151,0,1
"(Intercept)","ChangeFlow_orig13",NA,NA,NA,NA,NA,"ols_emplrate_ivC",5,1524.88605585846,-3039.72399623977,7.64686153174489,0.0213853724992893
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"level_year_logit",NA,NA,NA,NA,NA,4,1510.15733388583,-3012.2826164896,7.34309990736983,0.0248060220736502
"(Intercept)",NA,NA,NA,NA,"mlm_fe_level_cyear",NA,NA,4,1516.6745763704,-3025.31710145874,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,5.6913850617716,0.0549044033463228
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"level_year_orig13",NA,4,1510.62276531978,-3013.21347935751,6.41223703945889,0.0389361201851967
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,"lpm_leftright_iv",NA,NA,NA,4,1510.29740810895,-3012.56276493585,7.06295146112143,0.0284297973544939
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"mlm_fe_gdp_ivC",NA,4,1513.78173570809,-3019.53142013412,0.0942962628510031,0.488215150153441
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","fbunempchange_ivC_age2_iv",NA,NA,NA,NA,NA,NA,4,1510.48501820463,-3012.9379851272,6.68773126977021,0.0340966171834461
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"ChangeFlow_eeurope",NA,NA,NA,NA,NA,4,1511.28162794848,-3014.5312046149,5.09451178207428,0.0726110534822383
