v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142
1950,121425,1,1,2,2,2,3,4,2,3,3,3,3,2,2,3,2,1,2,4,5,2,2,3,4,2,2,2,2,4,4,3,2,2,2,2,3,5,4,1,2,2,4,3,2,3,2,3,3,2,2,3,3,2,3,3,2,1,39,1,,1,45,1503,,1,,,,3,2,,1,7,4,2,2,,10,4,7,96,1,3,4,,10,5,2,1,10,,2,,6603,,4,5000,1,5000,1,5,1,1,10,,5505,14,,,,3,1,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,
1950,121427,1,1,1,1,1,4,4,4,1,1,1,1,3,3,3,1,1,3,5,5,2,4,4,4,3,3,2,2,4,4,2,3,3,2,4,3,4,3,1,2,3,4,3,1,3,3,3,3,1,2,2,4,3,2,2,1,1,30,1,,1,38,2701,,2,,,,3,2,,2,,7,2,2,,16,6,2,2,3,2,2,,47,5,4,1,15,,8,,2701,,4,52100,11,48030,10,5,1,1,10,,3501,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,
1950,121443,1,2,1,1,1,4,4,2,1,1,1,1,1,,,,1,1,,3,2,2,2,2,2,3,3,1,4,2,2,3,3,3,2,3,3,4,1,4,2,3,3,1,2,2,3,2,2,2,2,2,2,3,2,2,2,,1,,2,24,6603,,6,,,,1,2,,2,,5,2,2,,12,5,7,96,3,3,4,,40,2,2,1,15,,2,,2607,,4,40734,9,26054,6,5,1,1,10,,2405,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,
1950,121445,1,2,1,1,1,,,,3,3,4,4,3,3,3,3,,2,4,5,2,3,3,2,2,2,2,2,2,2,1,1,1,1,5,3,3,1,1,1,2,5,3,1,3,2,2,2,1,2,2,4,2,2,2,2,2,24,1,,1,76,6603,,6,,,,1,2,,2,,8,2,2,,13,5,4,1,2,3,4,,10,6,4,1,15,,1,,2701,,3,44200,9,18200,4,5,1,1,10,,4103,11,,,,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
1950,121446,1,1,1,1,2,3,3,1,1,1,2,2,1,1,1,1,1,2,3,4,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,4,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,39,1,,1,40,1303,,1,,,,3,2,,2,,3,2,2,,12,5,2,2,1,2,2,,43,6,4,1,,,,,,,1,33800,7,20800,5,5,1,1,10,,7401,10,,,,6,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1950,121448,1,2,1,1,2,3,4,4,2,2,2,2,2,2,3,2,1,3,4,5,3,3,4,3,2,3,3,1,3,4,1,2,4,3,5,2,4,3,1,1,2,2,5,1,3,,,2,2,1,,,,,,2,1,20,5,2,2,30,4315,,4,,,,3,2,,2,,,2,2,,10,4,4,1,1,4,1,,44,6,2,2,,,,,,,4,7280,2,7280,2,5,2,2,15,,3200,14,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1950,121450,1,2,1,1,1,4,4,1,2,3,3,3,2,2,3,2,2,2,4,4,3,4,3,2,2,3,2,1,3,4,2,1,2,3,3,3,4,3,1,2,2,3,4,2,3,3,3,2,1,2,2,4,2,3,3,3,2,32,1,,2,6,6603,,6,,,,3,2,,1,2,4,2,2,,13,5,4,1,1,4,1,,44,2,4,1,,,,,,,5,64504,12,9504,2,5,1,1,10,,1501,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,
1950,121452,1,2,1,2,2,3,4,2,2,2,2,2,1,1,1,3,1,2,5,4,2,4,5,5,1,1,2,1,5,5,4,2,2,1,5,1,5,5,1,2,2,3,4,2,3,3,3,3,1,1,2,3,3,3,3,4,1,41,1,,1,37,2209,,2,,,,,,,1,60,8,1,2,,15,6,4,1,2,4,1,,20,4,4,1,12,,2,,5101,,4,46884,10,36000,8,5,1,1,10,,6105,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,
1950,121453,1,,2,2,2,3,3,3,2,3,3,3,2,2,2,2,2,3,4,5,2,3,2,2,2,2,2,2,2,3,1,2,1,3,4,2,5,3,2,1,3,3,4,2,2,2,4,2,2,2,2,4,4,2,2,2,1,33,1,,1,38,4803,,4,,,,3,2,,1,10,5,2,2,,11,5,2,2,2,3,4,,44,6,,2,,,,,,,2,43000,9,21000,5,5,1,1,10,,4301,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,121457,1,2,2,2,2,3,4,3,2,2,2,2,1,2,2,2,,3,5,3,3,4,4,2,2,2,4,2,2,4,2,2,2,2,3,2,3,5,2,2,3,3,3,1,2,2,3,1,1,1,1,2,3,2,3,4,1,45,1,,1,38,2701,,2,,,,,,,1,2,7,2,2,,11,5,2,2,2,2,2,,90,6,6,1,10,,1,,5601,,3,89000,14,56000,11,5,1,1,10,,3501,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
