V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141
1490,210099,2,2,2,2,2,2,3,3,3,2,1,3,1,,,,,,,,,,,,1,1,1,1,2,2,4,3,3,4,3,3,3,1,2,1,2,1,2,2,2,2,,1,2,2,2,2,2,3,3,3,2,2,1,3,3,1,1,2,1,2,2,2,2,1,,1,1,1,1,2,2,2,2,3,3,3,3,3,2,2,3,,3,,,3,,1,1,1,1,1,1,1,1,1,1,1,1,40,2,540,26,3,,2,,2,55,2,,1,2,8,3,,,,,,,4,2,10,3,2,1,974,3,,4,1,100000
1490,210102,2,2,1,2,2,2,2,4,4,3,4,4,2,4,4,2,2,2,,2,3,3,4,4,1,2,2,2,2,2,3,3,4,4,2,3,3,1,2,2,3,2,2,3,3,3,2,1,,,2,2,2,2,2,2,2,,2,1,2,,1,2,2,2,2,,,,2,3,1,1,3,3,3,3,2,1,2,2,3,,,,2,3,3,,,,,,,,,,2,3,,,,,,,,134,27,3,,1,,2,33,2,,1,5,9,3,,,,,,,6,97,49,3,4,1,4,3,,,,100000
1490,210105,2,2,1,2,1,1,2,2,3,1,1,3,1,1,3,1,1,1,1,3,1,3,3,4,1,2,2,1,2,1,2,3,4,4,1,3,3,2,3,3,2,1,2,2,2,3,2,2,1,2,2,2,1,2,2,3,2,2,2,3,4,1,,2,,2,2,,,1,,4,4,2,1,3,3,2,3,2,3,3,3,3,3,3,4,2,3,1,3,2,2,1,1,,,,2,2,1,2,,2,2,,,390,24,3,,2,,2,49,2,,1,6,9,3,,,,,,,6,97,10,3,4,2,27,3,,2,2,100000
1490,210111,2,2,2,2,2,2,4,4,4,4,1,3,2,2,3,2,1,2,3,3,1,2,3,3,1,3,2,2,2,1,1,3,3,4,3,3,4,1,3,3,3,3,2,2,3,1,3,2,2,2,2,2,1,1,2,2,2,2,2,2,3,1,,2,,2,2,,,,,3,2,1,3,3,2,2,5,3,3,3,4,4,3,4,5,2,3,,,,,,,,,,2,2,1,1,2,1,2,,,390,27,3,,1,,2,29,2,,1,4,10,3,,,,,,,4,2,10,3,4,1,985,3,,4,1,100000
1490,210112,2,2,,2,3,3,2,4,4,4,,4,3,4,4,4,2,3,3,4,2,4,4,4,1,,2,2,2,3,3,3,4,4,2,3,3,2,2,2,3,2,3,3,3,2,3,2,2,2,3,2,2,3,3,3,2,,1,3,2,,,2,1,2,2,,1,1,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,2,,,,,2,2,2,2,3,,,18,2,9,,3,,2,,2,35,2,,1,5,8,3,,,,,,1,2,1,49,3,4,1,432,3,,2,2,100000
1490,210113,2,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,4,4,4,1,1,2,2,1,2,1,3,5,4,3,3,5,1,3,3,3,3,4,3,3,1,5,2,1,3,3,2,3,3,2,3,1,3,2,3,4,2,2,1,1,,2,1,1,1,2,5,5,1,3,3,1,3,5,1,3,3,4,4,2,3,4,1,3,1,2,2,3,1,1,3,3,3,1,1,1,1,3,3,3,60,2,35,15,1,,2,,2,41,1,,3,4,10,4,,,,,,,4,3,10,5,4,,,,,4,1,100000
1490,210114,2,2,1,2,1,1,4,4,4,4,4,4,2,4,4,4,1,1,2,3,1,1,2,4,1,3,2,3,2,3,3,3,4,4,3,3,3,1,5,4,4,3,3,4,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,3,3,1,1,2,1,,2,2,1,1,2,4,4,2,3,3,2,4,3,3,3,3,3,5,3,5,5,2,3,2,1,3,3,3,3,3,3,3,2,3,3,3,3,,3,50,2,611,1,3,,2,,2,28,1,,5,5,9,3,,,,,,2,4,3,10,1,2,,,,,4,1,100000
1490,210115,2,2,2,2,2,2,3,4,4,4,2,4,1,3,4,2,1,2,3,3,3,3,4,4,1,3,3,5,4,4,4,3,5,4,3,3,5,1,3,3,4,1,2,3,3,2,4,2,2,2,3,3,2,3,3,3,3,3,3,3,4,1,1,2,2,2,2,2,2,2,2,2,3,2,2,1,2,4,2,2,3,4,4,4,4,5,5,3,3,1,2,3,3,2,2,2,2,2,2,3,2,2,3,3,3,,,490,16,3,,2,,2,37,2,,1,4,8,3,,,,,,,4,3,10,3,4,1,339,3,,4,1,100000
1490,210116,2,2,2,1,2,2,3,3,4,3,2,3,3,2,2,2,2,2,2,2,2,2,2,3,1,3,2,3,2,2,2,3,4,4,2,2,2,2,2,3,3,3,2,3,3,2,3,1,1,1,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,2,,,,,,4,2,2,2,2,2,2,4,3,3,4,3,4,3,3,4,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,,,9,,,,,,2,42,2,,1,3,8,3,,,,,,,2,1,10,3,2,1,956,3,,2,2,100000
1490,210119,2,2,1,2,1,2,2,3,4,3,1,4,2,3,4,2,1,2,3,3,2,3,4,4,1,2,2,5,2,2,2,3,4,4,3,4,4,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,1,2,2,1,2,2,2,2,2,2,1,1,1,5,5,2,2,4,2,2,2,2,2,3,2,3,3,3,3,1,2,2,3,2,3,3,3,3,3,3,2,3,2,2,2,2,2,40,2,339,22,3,,2,,2,26,1,,5,1,11,4,,,,,,4,4,3,10,2,2,,,,,4,1,100000
